video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3NSg709MNDk&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@alexanderrotmensz,Alexander Rotmensz,Just How Good Is Charlotte's Attempt At Urbanism?,12K,9 months,,14:37.2
/watch?v=QgZcQIp4CL0&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CityNerd,Ray Delahanty | CityNerd,"I Visited the World Capital of Sprawl, and I Have Thoughts",482K,2 years,"I went on location in Charlotte, North Carolina to find out what makes this the most car-centric major city in the U.S., and, by some ...",14:37.2
/watch?v=f8186dtXGUg&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@alexanderrotmensz,Alexander Rotmensz,America's Rising Cities: Charlotte,41K,6 months,,14:37.2
/watch?v=aFM3PTpD-aI&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WCNC,WCNC,Centre South development aims to reshape Charlotte's South End,333,3 months,"A massive new development is planned for Charlotte's South End, with promises to bring density, affordable housing and new ...",14:37.2
/watch?v=ku7E5gSWIrI&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WCNC,WCNC,Residents weigh in on 2040 plan for Charlotte development,861,6 months,"With the Queen City expected to add nearly 400000 residents and 200000 new jobs over the next 15 years, Charlotte officials are ...",14:37.2
/watch?v=RxCNVJ5AmqE&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CityNerd,Ray Delahanty | CityNerd,"Why I Love North Carolina, Part 1: Triad",110K,1 year,"The Piedmont Triad: a bit forgotten on the way between Charlotte and the Raleigh/Durham, but it shouldn't be. Winston-Salem is ...",14:37.2
/watch?v=TW0yN4BgUlc&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt0gcJCU8KAYcqIYzv,/@unccharlotteofficial,UNC Charlotte,Tactical Urbanism Street Mural,1K,8 years,The UNC Charlotte College of Arts + Architecture's “Tactical Urbanism” class has partnered with the Charlotte Department of ...,14:37.2
/watch?v=G5sc6mNmwAU&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@QueenCityNews,Queen City News,Charlotte Urbanists working to bring more benches to city streets,179,3 years,A Charlotte group modeled after an Asheville non-profit wants to bring more benches to city streets around the QC. Thanks for ...,14:37.2
/watch?v=dpS1trQHLD0&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@QueenCityNews,Queen City News,"Birkdale Village a blueprint for urban development, national organization says",248,2 years,"I was looking for a Sephora for my mom to return something,” Tiffany Moses said. “So, I just put it in the search, and it brought me ...",14:37.2
/watch?v=j3El8DIftKo&t=129s&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@TransitTangents,Transit Tangents,Charlotte NC Just Bought a Railroad: What's Next?,14K,1 year,... Charlotte Urbanists Gold Line Tweet: https://x.com/CLT_Urbanists/status/1832199860562337819 Chapters: 00:00 - Introduction ...,14:37.2
