video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QaIOfgz8FVY&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@Vox,Vox,Where Manhattan’s grid plan came from,1.4M,6 years,"New York City was particularly chaotic and unplanned at the time, after years of catering to developers and, at the same time, ...",51:49.3
/watch?v=PPaNqxG1Dow&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@MiserNYC,Miser,New York City is building the American model for great urbanism -- yes really,9.3K,1 year,Posting now a lot more content on: https://misernyc.substack.com/,51:49.3
/watch?v=0eZt9D27TTk&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@TheB1M,The B1M,New York is About to Bury the Empire State Building,1.3M,4 months,Manhattan's super-slender 262 Fifth Avenue is dividing Midtown. For more by The B1M subscribe now https://bit.ly/the-b1m Full ...,51:49.3
/watch?v=PzlO6kmF4u8&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbdIHCQlPCgGHKiGM7w%3D%3D,/@CityBeautiful,City Beautiful,How NYC Is Banning Cars on Broadway,201K,3 months,"Register for TomTom MOVE and try it for 30 days: https://www.tomtom.com/citybeautiful Broadway used to be called ""Automobile ...",51:49.3
/watch?v=ldtUrIco_rk&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@WIRED,WIRED,Urban Designer Answers City Planning Questions From Twitter | Tech Support | WIRED,1.5M,1 year,0:00 Urban Planning Support 0:15 Safer bike lanes 0:37 How does the NYC Subway compare to others worldwide? 1:26 The pros ...,51:49.3
/watch?v=XpiNGRK9Ito&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@TheLocalProject,The Local Project,How A Designer Built a New York Home That’s Also His Studio (House Tour),19K,10 hours,"Location: New York City, New York, United States The Local Project acknowledges the traditional territories and homelands of the ...",51:49.3
/watch?v=d2CVhUwS7PY&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@Versedyoutube,Versed,How New York City Plans To Expand Itself,228K,1 year,How New York City Plans To Expand Itself.,51:49.3
/watch?v=X2EUxrKrzVE&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@alanthefisher,Alan Fisher,"The Armchair Urbanist goes to Syracuse, New York",33K,4 years,I yell about buildings and long for the past. My Patreon: https://www.patreon.com/alanthefisher Join the Discord here: ...,51:49.3
/watch?v=uZPy2anDHi4&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@Versedyoutube,Versed,Why New York City is Split Into Boroughs,546K,5 months,Why New York City is Split Into Boroughs.,51:49.3
/watch?v=K-IXL1h2b7o&pp=ygUWbmV3IHlvcmsgY2l0eSB1cmJhbmlzbQ%3D%3D,/@YetAnotherUrbanist,Yet Another Urbanist,New York City Does Congestion Pricing And It's Great,13K,3 months,"New York City is the first city in the United States to implement congestion pricing. In this video, I talk about why this is the only city ...",51:49.3
