video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=euqZ1ZWU6lg&pp=ygUQc2VhdHRsZSB1cmJhbmlzbdIHCQlPCgGHKiGM7w%3D%3D,/@fourth_place,Fourth Place,"Inside Seattle's Beautiful, Dark, Twisted Urban Core",7.5K,3 months,,45:07.8
/watch?v=_vWW7bHWiA0&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityNerd,Ray Delahanty | CityNerd,How Seattle Is Becoming an Urbanism Juggernaut (Maybe in Spite of Itself),364K,2 years,"Sound Transit Link's Northgate Station, opened in 2021, is now the system's busiest -- but it still isn't anywhere near meeting its ...",45:07.8
/watch?v=iIeWLDwnOXM&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityNerd,Ray Delahanty | CityNerd,To Improve a STROAD: How One City Is Reimagining an Orphan Highway // Aurora Avenue in Seattle,231K,3 years,"When the US interstate system was built in the 1950s and 60s, it relegated the previously built state highways to what seems like ...",45:07.8
/watch?v=V-mQyPCrqAs&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@Versedyoutube,Versed,Why Seattle Is the Opposite of a Natural City,172K,9 days,Why Seattle Is the Opposite of a Natural City.,45:07.8
/watch?v=jE_VSNqJ4io&pp=ygUQc2VhdHRsZSB1cmJhbmlzbdIHCQlPCgGHKiGM7w%3D%3D,/@CityNerd,Ray Delahanty | CityNerd,"The Venn Diagram of Sunny Weather, Urbanism, and Affordability",279K,2 years,"In consulting, it's often said, when working on scope, schedule and budget with a client: ""Good, fast, and cheap: pick two."" I think ...",45:07.8
/watch?v=12RnUzSGrkw&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityBeautiful,City Beautiful,Can Trains Save Seattle?,194K,1 year,,45:07.8
/watch?v=3INIAfhqdYw&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@YetAnotherUrbanist,Yet Another Urbanist,Seattle's (Draft) Comprehensive Plan Kinda Sucks,15K,1 year,"Seattle is gearing up to build 100000 homes...in 20 years...when the population growth is expected to be 240000...yeah, not good.",45:07.8
/watch?v=VWD0y-ZS-NI&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@YetAnotherUrbanist,Yet Another Urbanist,"Now THIS Is Transit Oriented Development | Redmond, Washington",20K,5 months,"Transit oriented developments are developments oriented around transit, and the city of Redmond does it like nobody else.",45:07.8
/watch?v=t4WDCc_UHds&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityBeautiful,City Beautiful,What happens after a city removes a freeway?,665K,4 years,The first 1000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/citybeautiful07210 I'm on Patreon!,45:07.8
/watch?v=O6HItXil-aw&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@City-Moose,CityMoose,Why Seattle’s light rail network is about to double in size!,43K,3 days,Try Rocket Money for FREE or unlock more features with premium at: https://RocketMoney.com/CityMoose Support the ...,45:07.8
/watch?v=5MN6AXC4Z7k&t=114s&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@FD_Engineering,Free Documentary - Engineering,How To Build A City | SEATTLE | FD Engineering,72K,1 year,How To Build A City: Seattle | FD Engineering Watch 'How To Build A City - Tokyo' here: https://youtu.be/3YvahfGC2u8 Watch ...,45:07.8
/watch?v=L6L1vd8afAg&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@fourth_place,Fourth Place,How Seattle Transformed a Power Plant into a Public Park,5.5K,8 months,,45:07.8
